BUSINESS_UNIT_1,BUSINESS_UNIT_2,DATE,OUTBOUND_FORECAST
WH1,CUST1,4/5/2022,2462
WH1,CUST1,4/6/2022,3947
WH1,CUST1,4/7/2022,1549
WH1,CUST1,4/8/2022,2883
WH1,CUST1,4/9/2022,1939
WH1,CUST1,4/10/2022,3653
WH1,CUST1,4/11/2022,1580
WH1,CUST1,4/12/2022,2407
WH1,CUST1,4/13/2022,3900
WH1,CUST1,4/14/2022,2306
WH1,CUST1,4/15/2022,2373
WH1,CUST1,4/16/2022,2695
WH1,CUST1,4/17/2022,1665
WH1,CUST1,4/18/2022,3307
WH1,CUST1,4/19/2022,3966
WH1,CUST1,4/20/2022,3405
WH1,CUST1,4/21/2022,3514
WH1,CUST1,4/22/2022,3132
WH1,CUST1,4/23/2022,3072
WH1,CUST1,4/24/2022,3302
WH1,CUST1,4/25/2022,1921
WH1,CUST1,4/26/2022,2717
WH1,CUST1,4/27/2022,2038
WH1,CUST1,4/28/2022,2341
WH1,CUST1,4/29/2022,3750
WH1,CUST1,4/30/2022,3886
WH1,CUST1,5/1/2022,2482
WH1,CUST1,5/2/2022,2859
WH1,CUST1,5/3/2022,1680
WH1,CUST1,5/4/2022,2147
WH1,CUST1,5/5/2022,2595
WH1,CUST1,5/6/2022,2641
WH1,CUST1,5/7/2022,2810
WH1,CUST1,5/8/2022,1786
WH1,CUST1,5/9/2022,3481
WH1,CUST1,5/10/2022,2431
WH1,CUST1,5/11/2022,1555
WH1,CUST1,5/12/2022,3765
WH1,CUST1,5/13/2022,3684
WH1,CUST1,5/14/2022,2133
WH1,CUST1,5/15/2022,2370
WH1,CUST1,5/16/2022,2820
WH1,CUST1,5/17/2022,2957
WH1,CUST1,5/18/2022,3203
WH1,CUST1,5/19/2022,2084
WH1,CUST1,5/20/2022,2142
WH1,CUST1,5/21/2022,3566
WH1,CUST1,5/22/2022,2699
WH1,CUST1,5/23/2022,3385
WH1,CUST1,5/24/2022,3084
WH1,CUST1,5/25/2022,3234
WH1,CUST1,5/26/2022,3037
WH1,CUST1,5/27/2022,3470
WH1,CUST1,5/28/2022,3555
WH1,CUST1,5/29/2022,2618
WH1,CUST1,5/30/2022,2934
WH1,CUST1,5/31/2022,3708
WH1,CUST1,6/1/2022,3392
WH1,CUST1,6/2/2022,2390
WH1,CUST1,6/3/2022,3851
WH1,CUST1,6/4/2022,3150
WH1,CUST1,6/5/2022,3857
WH1,CUST1,6/6/2022,1521
WH1,CUST1,6/7/2022,2151
WH1,CUST1,6/8/2022,2354
WH1,CUST1,6/9/2022,1846
WH1,CUST1,6/10/2022,3949
WH1,CUST1,6/11/2022,3571
WH1,CUST1,6/12/2022,3127
WH1,CUST1,6/13/2022,2262
WH1,CUST1,6/14/2022,2369
WH1,CUST1,6/15/2022,3517
WH1,CUST1,6/16/2022,1880
WH1,CUST1,6/17/2022,2265
WH1,CUST1,6/18/2022,1509
WH1,CUST1,6/19/2022,1951
WH1,CUST1,6/20/2022,2162
WH1,CUST1,6/21/2022,2761
WH1,CUST1,6/22/2022,3049
WH1,CUST1,6/23/2022,3378
WH1,CUST1,6/24/2022,2205
WH1,CUST1,6/25/2022,3504
WH1,CUST1,6/26/2022,2778
WH1,CUST1,6/27/2022,1656
WH1,CUST1,6/28/2022,3536
WH1,CUST1,6/29/2022,3088
WH1,CUST1,6/30/2022,2529
WH1,CUST1,7/1/2022,3646
WH1,CUST1,7/2/2022,3794
WH1,CUST1,7/3/2022,2976
WH1,CUST1,7/4/2022,2226
WH1,CUST1,7/5/2022,3853
WH1,CUST1,7/6/2022,1722
WH1,CUST1,7/7/2022,3375
WH1,CUST1,7/8/2022,3718
WH1,CUST1,7/9/2022,3926
WH1,CUST1,7/10/2022,1627
WH1,CUST1,7/11/2022,2994
WH1,CUST1,7/12/2022,2260
WH1,CUST1,7/13/2022,3734
WH1,CUST1,7/14/2022,1743
WH1,CUST1,7/15/2022,2860
WH1,CUST1,7/16/2022,2123
WH1,CUST1,7/17/2022,2980
WH1,CUST1,7/18/2022,2455
WH1,CUST1,7/19/2022,3675
WH1,CUST1,7/20/2022,3018
WH1,CUST1,7/21/2022,3241
WH1,CUST1,7/22/2022,3468
WH1,CUST1,7/23/2022,3715
WH1,CUST1,7/24/2022,3336
WH1,CUST1,7/25/2022,1602
WH1,CUST1,7/26/2022,1766
WH1,CUST1,7/27/2022,2998
WH1,CUST1,7/28/2022,3878
WH1,CUST1,7/29/2022,2896
WH1,CUST1,7/30/2022,1629
WH1,CUST1,7/31/2022,2632
WH1,CUST1,8/1/2022,2725
WH1,CUST1,8/2/2022,3735
WH1,CUST1,8/3/2022,3717
WH1,CUST1,8/4/2022,1966
WH1,CUST1,8/5/2022,3374
WH1,CUST1,8/6/2022,1651
WH1,CUST1,8/7/2022,3682
WH1,CUST1,8/8/2022,3293
WH1,CUST1,8/9/2022,2657
WH1,CUST1,8/10/2022,2163
WH1,CUST1,8/11/2022,3049
WH1,CUST1,8/12/2022,2825
WH1,CUST1,8/13/2022,3172
WH1,CUST1,8/14/2022,3748
WH1,CUST1,8/15/2022,2261
WH1,CUST1,8/16/2022,3488
WH1,CUST1,8/17/2022,2696
WH1,CUST1,8/18/2022,1647
WH1,CUST1,8/19/2022,3099
WH1,CUST1,8/20/2022,2996
WH1,CUST1,8/21/2022,2012
WH1,CUST1,8/22/2022,2583
WH1,CUST1,8/23/2022,2561
WH1,CUST1,8/24/2022,2008
WH1,CUST1,8/25/2022,3864
WH1,CUST1,8/26/2022,3939
WH1,CUST1,8/27/2022,3261
WH1,CUST1,8/28/2022,2601
WH1,CUST1,8/29/2022,2152
WH1,CUST1,8/30/2022,3645
WH1,CUST1,8/31/2022,3188
WH1,CUST1,9/1/2022,2760
WH1,CUST1,9/2/2022,1562
WH1,CUST1,9/3/2022,3463
WH1,CUST1,9/5/2022,2178
WH1,CUST1,9/6/2022,1945
WH1,CUST1,9/7/2022,2317
WH1,CUST1,9/8/2022,1952
WH1,CUST1,9/9/2022,2089
WH1,CUST1,9/10/2022,1913
WH1,CUST1,9/11/2022,2841
WH1,CUST1,9/12/2022,3112
WH1,CUST1,9/13/2022,3942
WH1,CUST1,9/14/2022,3245
WH1,CUST1,9/15/2022,3866
WH1,CUST1,9/16/2022,2131
WH1,CUST1,9/17/2022,1525
WH1,CUST1,9/18/2022,3388
WH1,CUST1,9/19/2022,2502
WH1,CUST1,9/20/2022,3042
WH1,CUST1,9/21/2022,2531
WH1,CUST1,9/22/2022,3556
WH1,CUST1,9/23/2022,1906
WH1,CUST1,9/24/2022,1856
WH1,CUST1,9/25/2022,3289
WH1,CUST1,9/26/2022,2348
WH1,CUST1,9/27/2022,1977
WH1,CUST1,9/28/2022,1864
WH1,CUST1,9/29/2022,3503
WH1,CUST1,9/30/2022,2527
WH1,CUST1,10/1/2022,2097
WH1,CUST1,10/2/2022,3000
WH1,CUST1,10/3/2022,2118
WH1,CUST1,10/4/2022,3713
WH1,CUST1,10/5/2022,1824
WH1,CUST1,10/6/2022,1687
WH1,CUST1,10/7/2022,1589
WH1,CUST1,10/8/2022,2003
WH1,CUST1,10/9/2022,3225
WH1,CUST1,10/10/2022,2221
WH1,CUST1,10/11/2022,1577
WH1,CUST1,10/12/2022,1842
WH1,CUST1,10/13/2022,2161
WH1,CUST1,10/14/2022,2172
WH1,CUST1,10/15/2022,2254
WH1,CUST1,10/16/2022,2219
WH1,CUST1,10/17/2022,2585
WH1,CUST1,10/18/2022,2766
WH1,CUST1,10/19/2022,3461
WH1,CUST1,10/20/2022,2546
WH1,CUST1,10/21/2022,3051
WH1,CUST1,10/22/2022,1778
WH1,CUST1,10/23/2022,2276
WH1,CUST1,10/24/2022,2015
WH1,CUST1,10/25/2022,3205
WH1,CUST1,10/26/2022,2650
WH1,CUST1,10/27/2022,1548
WH1,CUST1,10/28/2022,3844
WH1,CUST1,10/29/2022,3906
WH1,CUST1,10/30/2022,2415
WH1,CUST1,10/31/2022,3178
WH1,CUST1,11/1/2022,3482
WH1,CUST1,11/2/2022,2645
WH1,CUST1,11/3/2022,3609
WH1,CUST1,11/4/2022,3988
WH1,CUST1,11/5/2022,3245
WH1,CUST1,11/6/2022,2458
WH1,CUST1,11/7/2022,3887
WH1,CUST1,11/8/2022,3457
WH1,CUST1,11/9/2022,3128
WH1,CUST1,11/10/2022,3745
WH1,CUST1,11/11/2022,1863
WH1,CUST1,11/12/2022,3973
WH1,CUST1,11/13/2022,2212
WH1,CUST1,11/14/2022,1688
WH1,CUST1,11/15/2022,3683
WH1,CUST1,11/16/2022,1760
WH1,CUST1,11/17/2022,2944
WH1,CUST1,11/18/2022,1947
WH1,CUST1,11/19/2022,3590
WH1,CUST1,11/20/2022,2224
WH1,CUST1,11/21/2022,2389
WH1,CUST1,11/22/2022,2420
WH1,CUST1,11/23/2022,2396
WH1,CUST1,11/24/2022,3503
WH1,CUST1,11/25/2022,3719
WH1,CUST1,11/26/2022,2957
WH1,CUST1,11/27/2022,3006
WH1,CUST1,11/28/2022,3937
WH1,CUST1,11/29/2022,1878
WH1,CUST1,11/30/2022,2914
WH1,CUST1,12/1/2022,3726
WH1,CUST1,12/2/2022,3217
WH1,CUST1,12/3/2022,1749
WH1,CUST1,12/4/2022,3858
WH1,CUST1,12/5/2022,2313
WH1,CUST1,12/6/2022,3308
WH1,CUST1,12/7/2022,2474
WH1,CUST1,12/8/2022,3210
WH1,CUST1,12/9/2022,2830
WH1,CUST1,12/10/2022,2871
WH1,CUST1,12/11/2022,3615
WH1,CUST1,12/12/2022,1601
WH1,CUST1,12/13/2022,3428
WH1,CUST1,12/14/2022,2740
WH1,CUST1,12/15/2022,2413
WH1,CUST1,12/16/2022,3042
WH1,CUST1,12/17/2022,3293
WH1,CUST1,12/18/2022,3928
WH1,CUST1,12/19/2022,1870
WH1,CUST1,12/20/2022,2078
WH1,CUST1,12/21/2022,2412
WH1,CUST1,12/22/2022,2865
WH1,CUST1,12/23/2022,3974
WH1,CUST1,12/24/2022,3580
WH1,CUST1,12/25/2022,3468
WH1,CUST1,12/26/2022,1672
WH1,CUST1,12/27/2022,2841
WH1,CUST1,12/28/2022,1990
WH1,CUST1,12/29/2022,2443
WH1,CUST1,12/30/2022,1937
WH1,CUST1,12/31/2022,3881
WH1,CUST1,1/1/2023,2994
WH1,CUST1,1/2/2023,3181
WH1,CUST1,1/3/2023,3505
WH1,CUST1,1/4/2023,2580
WH1,CUST1,1/5/2023,3662
WH1,CUST1,1/6/2023,2558
WH1,CUST1,1/7/2023,1770
WH1,CUST1,1/8/2023,2295
WH1,CUST1,1/9/2023,2471
WH1,CUST1,1/10/2023,2310
WH1,CUST1,1/11/2023,3792
WH1,CUST1,1/12/2023,1870
WH1,CUST1,1/13/2023,3131
WH1,CUST1,1/14/2023,3019
WH1,CUST1,1/15/2023,2171
WH1,CUST1,1/16/2023,2852
WH1,CUST1,1/17/2023,3237
WH1,CUST1,1/18/2023,2169
WH1,CUST1,1/19/2023,3670
WH1,CUST1,1/20/2023,2785
WH1,CUST1,1/22/2023,2175
WH1,CUST1,1/23/2023,1897
WH1,CUST1,1/24/2023,3852
WH1,CUST1,1/25/2023,3328
WH1,CUST1,1/26/2023,3097
WH1,CUST1,1/27/2023,3685
WH1,CUST1,1/28/2023,2274
WH1,CUST1,1/29/2023,3134
WH1,CUST1,1/30/2023,2462
WH1,CUST1,1/31/2023,2659
WH1,CUST1,2/1/2023,1643
WH1,CUST1,2/2/2023,3849
WH1,CUST1,2/3/2023,1777
WH1,CUST1,2/4/2023,2832
WH1,CUST1,2/5/2023,2846
WH1,CUST1,2/6/2023,2640
WH1,CUST1,2/7/2023,3191
WH1,CUST1,2/8/2023,2159
WH1,CUST1,2/9/2023,2577
WH1,CUST1,2/10/2023,3524
WH1,CUST1,2/11/2023,3208
WH1,CUST1,2/12/2023,2928
WH1,CUST1,2/13/2023,2788
WH1,CUST1,2/14/2023,1767
WH1,CUST1,2/15/2023,1860
WH1,CUST1,2/16/2023,1559
WH1,CUST1,2/17/2023,2787
WH1,CUST1,2/18/2023,2035
WH1,CUST1,2/19/2023,2639
WH1,CUST1,2/20/2023,3773
WH1,CUST1,2/21/2023,3570
WH1,CUST1,2/22/2023,3001
WH1,CUST1,2/23/2023,3696
WH1,CUST1,2/24/2023,3009
WH1,CUST1,2/25/2023,2602
WH1,CUST1,2/26/2023,3688
WH1,CUST1,2/27/2023,2553
WH1,CUST1,2/28/2023,3964
WH1,CUST1,3/1/2023,2874
WH1,CUST1,3/2/2023,2506
WH1,CUST1,3/3/2023,1509
WH1,CUST1,3/4/2023,3915
WH1,CUST1,3/5/2023,2752
WH1,CUST1,3/6/2023,2911
WH1,CUST1,3/7/2023,2441
WH1,CUST1,3/8/2023,1505
